,company_id,avg_time_dif_95,avg_time_dif_90,avg_time_dif_75,names
0,1,0 days 04:10:20.029880,0 days 04:11:23.963117,0 days 08:17:22.971177,Smunch
1,8,-1 days +22:58:04.553506,0 days 01:07:10.913531,0 days 06:50:13.612185,Freshdesk
2,9,0 days 02:26:14.791997,0 days 07:04:30.600941,0 days 17:09:29.221092,Kontist GmbH
3,50,1 days 04:28:35.354574,1 days 04:28:35.354574,1 days 04:28:35.354574,LiveIntent GmbH
4,55,0 days 18:03:44.604344,0 days 18:03:44.604344,0 days 18:40:25.693672,Shiver Nebula GmbH
5,85,0 days 07:07:01.220845,0 days 14:06:33.050982,1 days 14:18:59.136664,Mähren Immobilien GmbH 
6,90,1 days 00:42:33.192955,1 days 00:51:19.780311,1 days 04:47:42.450259,Dojo Madness 
7,107,1 days 02:29:12.933690,1 days 02:29:12.933690,1 days 02:29:12.933690,Horeca Digital
8,108,0 days 19:26:13.903731,1 days 02:56:32.276381,1 days 14:58:51.244267,Companisto 
9,111,0 days 18:43:57.434088,0 days 23:35:03.752651,1 days 09:36:42.019925,KIWI.KI
10,117,0 days 04:13:02.329222,0 days 07:38:55.708105,0 days 22:26:46.355235,Smava - Kopernikusstrasse 
11,118,0 days 17:32:17.861792,0 days 17:32:20.213991,0 days 23:32:11.181614,Smava - Frankfurter Allee
12,119,0 days 19:39:33.430938,0 days 23:58:20.727506,1 days 03:30:16.375912,Zalando 
13,121,1 days 07:51:46.390768,1 days 17:10:12.344899,2 days 22:01:55.490274,MediaMath
14,125,1 days 06:05:54.098050,1 days 06:06:08.448948,1 days 08:43:29.810871,NewStore GmbH
15,126,0 days 08:06:54.067748,0 days 08:06:54.067748,0 days 16:00:32.097741,KPMG (MK)
16,129,0 days 22:29:00.913928,0 days 22:29:00.913928,1 days 04:42:47.655742,EMPAUA
17,132,1 days 19:05:46.573734,1 days 19:05:46.573734,2 days 07:40:54.394346,Immokey GmbH
18,134,0 days 18:06:04.986730,0 days 18:06:04.986730,0 days 18:06:04.986730,glispa (company lunch)
19,150,3 days 02:05:07.656872,3 days 02:05:07.656872,3 days 02:05:07.656872,Audible
20,151,1 days 06:44:24.212199,1 days 06:44:24.212199,1 days 06:44:24.212199,glispa (selfpay)
21,152,1 days 15:06:52.324121,1 days 15:06:52.324121,1 days 15:06:52.324121,undconsorten 
22,154,0 days 15:43:28.168410,0 days 16:27:30.934813,0 days 23:26:51.985564,HYAZINTH - L
23,155,1 days 21:19:26.041018,1 days 21:19:26.041018,1 days 21:19:26.041018,HYAZINTH - A
24,163,0 days 16:59:23.919003,1 days 01:02:01.652119,1 days 08:30:46.869493,Data Artisans 
25,171,0 days 18:26:19.102055,0 days 20:13:56.496389,0 days 23:17:48.780508,Plinga
