,Date,Day,Restaurant,Customer,Paying Orders
2325,05/08/2017,mon,royals & rice,smava ks,14.0
2336,05/09/2017,tue,w der imbiss,smava ks,20.0
2352,05/10/2017,wed,chutnify,smava ks,16.0
2374,05/11/2017,thu,sam yuk gu,smava ks,13.0
2393,05/12/2017,fri,pizza nostra,smava ks,25.0
2403,05/15/2017,mon,pasta deli,smava ks,18.0
2418,05/16/2017,tue,nil,smava ks,23.0
2436,05/17/2017,wed,hashi kitchen,smava ks,19.0
2453,05/18/2017,thu,berlin burrito,smava ks,26.0
2470,05/19/2017,fri,zula hummus,smava ks,22.0
2485,05/22/2017,mon,coucou,smava ks,22.0
2500,05/23/2017,tue,chaiwallahs,smava ks,23.0
2515,05/24/2017,wed,son kitchen,smava ks,19.0
2530,05/26/2017,fri,mezem,smava ks,9.0
2543,05/29/2017,mon,the butcher,smava ks,15.0
2557,05/30/2017,tue,chupenga,smava ks,15.0
2575,05/31/2017,wed,pasta deli,smava ks,19.0
2594,06/01/2017,thu,salaid,smava ks,25.0
2600,06/01/2017,thu,salaid,smava ks,9.0
2611,06/02/2017,fri,fatoush,smava ks,23.0
2629,06/06/2017,tue,w der imbiss,smava ks,18.0
2645,06/07/2017,wed,maison han,smava ks,20.0
2664,06/08/2017,thu,grindhouse burgers,smava ks,15.0
2682,06/09/2017,fri,berlin burrito,smava ks,22.0
2698,06/12/2017,mon,yarok,smava ks,18.0
2718,06/13/2017,tue,koshary lux,smava ks,17.0
2737,06/14/2017,wed,chaiwallahs,smava ks,19.0
2762,06/15/2017,thu,pan bao,smava ks,29.0
2778,06/16/2017,fri,sam yuk gu,smava ks,18.0
2797,06/19/2017,mon,hashi kitchen,smava ks,15.0
2816,06/20/2017,tue,pasta deli,smava ks,18.0
2827,06/21/2017,wed,la parrilla,smava ks,22.0
2851,06/22/2017,thu,fatoush,smava ks,17.0
2869,06/23/2017,fri,chupenga,smava ks,17.0
2887,06/26/2017,mon,nil,smava ks,27.0
2903,06/27/2017,tue,w der imbiss,smava ks,18.0
2926,06/28/2017,wed,pan bao,smava ks,21.0
2947,06/29/2017,thu,salut,smava ks,18.0
2969,06/30/2017,fri,pan bao,smava ks,19.0
2982,07/03/2017,mon,la parrilla,smava ks,22.0
3002,07/04/2017,tue,the butcher,smava ks,15.0
3028,07/05/2017,wed,yarok,smava ks,19.0
3047,07/06/2017,thu,kirsons,smava ks,23.0
3061,07/07/2017,fri,chupenga,smava ks,14.0
3082,07/10/2017,mon,berlin burrito,smava ks,16.0
3101,07/11/2017,tue,fatoush,smava ks,16.0
3139,07/12/2017,wed,kindl stuben,smava ks,25.0
3149,07/13/2017,thu,hashi kitchen,smava ks,19.0
3173,07/14/2017,fri,nil,smava ks,24.0
